Latitude,Longitude,County,State,sale_price_sqr_foot,year,housing_units,gross_rent
40.48,-74.28,Middlesex,NJ,291.1829455,2010,372560,1239
40.48,-74.27683417,Middlesex,NJ,267.9325827,2010,372560,1239
40.48,-74.27366834,Middlesex,NJ,170.0986654,2010,372560,1239
40.48,-74.27050251,Middlesex,NJ,347.3949194,2010,372560,1239
40.48,-74.26733668,Middlesex,NJ,319.0276226,2010,372560,1239
40.48,-74.26417085,Middlesex,NJ,418.1724927,2010,372560,1239
40.48,-74.26100503,Middlesex,NJ,369.359338,2010,372560,1239
40.48,-74.2578392,Middlesex,NJ,569.3799679,2010,372560,1239
40.48,-74.25467337,Middlesex,NJ,165.6457301,2010,372560,1239
40.48,-74.25150754,Middlesex,NJ,456.9308222,2010,372560,1239
40.48,-74.24834171,Middlesex,NJ,241.8045521,2010,372560,1239
40.48,-74.24517588,Middlesex,NJ,403.1183126,2010,372560,1239
40.48,-74.24201005,Middlesex,NJ,364.9283357,2010,372560,1239
40.48,-74.23884422,Middlesex,NJ,401.7499666,2010,372560,1239
40.48,-74.23567839,Middlesex,NJ,162.82121,2010,372560,1239
40.48,-74.23251256,Richmond,NY,209.0493266,2010,372560,1239
40.48,-74.22934673,Richmond,NY,715.5864381,2010,372560,1239
40.48,-74.2261809,Richmond,NY,551.8011188,2010,372560,1239
40.48,-74.22301508,Richmond,NY,254.4737791,2010,372560,1239
40.48,-74.21984925,Richmond,NY,272.2849796,2010,372560,1239
40.48,-74.21668342,Richmond,NY,170.6249199,2010,372560,1239
40.48,-74.21351759,Richmond,NY,275.0566856,2010,372560,1239
40.48,-74.21035176,Monmouth,NJ,238.3500204,2010,372560,1239
40.48,-74.20718593,Monmouth,NJ,199.7020038,2010,372560,1239
40.48,-74.2040201,Monmouth,NJ,285.8223585,2010,372560,1239
40.48,-74.20085427,Monmouth,NJ,275.7697296,2010,372560,1239
40.48,-74.19768844,Monmouth,NJ,419.8878119,2010,372560,1239
40.48,-74.19452261,Monmouth,NJ,320.7969105,2010,372560,1239
40.48,-74.19135678,Monmouth,NJ,398.458876,2010,372560,1239
40.48,-74.18819095,Monmouth,NJ,374.057636,2010,372560,1239
40.48,-74.18502513,Monmouth,NJ,387.3928395,2010,372560,1239
40.48,-74.1818593,Monmouth,NJ,680.6087291,2010,372560,1239
40.48,-74.17869347,Monmouth,NJ,489.8053778,2010,372560,1239
40.48,-74.17552764,Monmouth,NJ,257.9879986,2010,372560,1239
40.48,-74.17236181,Monmouth,NJ,262.8760256,2010,372560,1239
40.48,-74.16919598,Monmouth,NJ,307.6774767,2010,372560,1239
40.48,-74.16603015,Monmouth,NJ,381.1384451,2010,372560,1239
40.48,-74.16286432,Monmouth,NJ,282.1196705,2010,372560,1239
40.48,-74.15969849,Monmouth,NJ,432.1952921,2010,372560,1239
40.48,-74.15653266,Monmouth,NJ,338.1262,2010,372560,1239
40.48,-74.15336683,Monmouth,NJ,368.311552,2010,372560,1239
40.48,-74.15020101,Monmouth,NJ,496.5160141,2010,372560,1239
40.48,-74.14703518,Monmouth,NJ,326.0171504,2010,372560,1239
40.48,-74.14386935,Monmouth,NJ,274.1667416,2010,372560,1239
40.48,-74.14070352,Monmouth,NJ,434.2550039,2010,372560,1239
40.48,-74.13753769,Monmouth,NJ,302.1561132,2010,372560,1239
40.48,-74.13437186,Monmouth,NJ,491.4500039,2010,372560,1239
40.48,-74.13120603,Monmouth,NJ,549.4179312,2010,372560,1239
40.48,-74.1280402,Monmouth,NJ,362.3482239,2010,372560,1239
40.48,-74.12487437,Monmouth,NJ,1037.099789,2010,372560,1239
40.48,-74.12170854,Monmouth,NJ,401.2959765,2010,372560,1239
40.48,-74.11854271,Monmouth,NJ,542.531682,2010,372560,1239
40.48,-74.11537688,Monmouth,NJ,524.7935091,2010,372560,1239
40.48,-74.11221106,Monmouth,NJ,331.5559961,2010,372560,1239
40.48,-74.10904523,Monmouth,NJ,569.1934475,2010,372560,1239
40.48,-74.1058794,Monmouth,NJ,108.0129269,2010,372560,1239
40.48,-74.10271357,Monmouth,NJ,392.3007642,2010,372560,1239
40.48,-74.09954774,Monmouth,NJ,215.5691343,2010,372560,1239
40.48,-74.09638191,Monmouth,NJ,333.1267738,2010,372560,1239
40.48,-74.09321608,Monmouth,NJ,272.5273102,2011,374507,1530
40.48,-74.09005025,Monmouth,NJ,172.5405624,2011,374507,1530
40.48,-74.08688442,Monmouth,NJ,471.9217321,2011,374507,1530
40.48,-74.08371859,Monmouth,NJ,171.7723467,2011,374507,1530
40.48,-74.08055276,Monmouth,NJ,261.6638003,2011,374507,1530
40.48,-74.07738693,Monmouth,NJ,391.4264497,2011,374507,1530
40.48,-74.07422111,Monmouth,NJ,520.7181675,2011,374507,1530
40.48,-74.07105528,Monmouth,NJ,222.567848,2011,374507,1530
40.48,-74.06788945,Monmouth,NJ,390.595653,2011,374507,1530
40.48,-74.06472362,Monmouth,NJ,145.8533803,2011,374507,1530
40.48,-74.06155779,Monmouth,NJ,382.3522611,2011,374507,1530
40.48,-74.05839196,Monmouth,NJ,234.2816235,2011,374507,1530
40.48,-74.05522613,Monmouth,NJ,295.7793782,2011,374507,1530
40.48,-74.0520603,Monmouth,NJ,413.162804,2011,374507,1530
40.48,-74.04889447,Monmouth,NJ,281.3129044,2011,374507,1530
40.48,-74.04572864,Monmouth,NJ,354.6655579,2011,374507,1530
40.48,-74.04256281,Monmouth,NJ,457.4138843,2011,374507,1530
40.48,-74.03939698,Monmouth,NJ,348.9297,2011,374507,1530
40.48,-74.03623116,Monmouth,NJ,392.353451,2011,374507,1530
40.48,-74.03306533,Monmouth,NJ,280.7306331,2011,374507,1530
40.48,-74.0298995,Monmouth,NJ,356.7090091,2011,374507,1530
40.48,-74.02673367,Monmouth,NJ,198.0158729,2011,374507,1530
40.48,-74.02356784,Monmouth,NJ,283.1749507,2011,374507,1530
40.48,-74.02040201,Monmouth,NJ,360.0372724,2011,374507,1530
40.48,-74.01723618,Monmouth,NJ,302.6044895,2011,374507,1530
40.48,-74.01407035,Monmouth,NJ,610.7666632,2011,374507,1530
40.48,-74.01090452,Monmouth,NJ,330.1088944,2011,374507,1530
40.48,-74.00773869,Monmouth,NJ,313.3384582,2011,374507,1530
40.48,-74.00457286,Monmouth,NJ,303.5441997,2011,374507,1530
40.48,-74.00140704,Monmouth,NJ,390.818469,2011,374507,1530
40.48,-73.99824121,Monmouth,NJ,414.6760648,2011,374507,1530
40.48,-73.99507538,Monmouth,NJ,506.9521745,2011,374507,1530
40.48,-73.99190955,Monmouth,NJ,293.4042461,2011,374507,1530
40.48,-73.98874372,Monmouth,NJ,340.642597,2011,374507,1530
40.48,-73.98557789,Monmouth,NJ,373.9786871,2011,374507,1530
40.48,-73.98241206,Monmouth,NJ,290.9210327,2011,374507,1530
40.48,-73.97924623,Monmouth,NJ,346.96116,2011,374507,1530
40.48,-73.9760804,Monmouth,NJ,142.1425675,2011,374507,1530
40.48,-73.97291457,Monmouth,NJ,241.9456565,2011,374507,1530
40.48,-73.96974874,Monmouth,NJ,271.0901396,2011,374507,1530
40.48,-73.96658291,Monmouth,NJ,297.2455578,2011,374507,1530
40.48,-73.96341709,Monmouth,NJ,509.02148,2011,374507,1530
40.48,-73.96025126,Monmouth,NJ,289.6056001,2011,374507,1530
40.48,-73.95708543,Monmouth,NJ,217.5587868,2011,374507,1530
40.48,-73.9539196,Monmouth,NJ,466.6178977,2011,374507,1530
40.48,-73.95075377,Monmouth,NJ,208.1679967,2011,374507,1530
40.48,-73.94758794,Monmouth,NJ,503.1385046,2011,374507,1530
40.48,-73.94442211,Monmouth,NJ,493.8149173,2011,374507,1530
